Item_Identifier,i_weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,O_Size
DRK59,8.895,Low Fat,0.075876602,Hard Drinks,235.9616,OUT017,2007,Tier 2,Supermarket Type1,1874.8928,Medium
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Tier 2,Supermarket Type1,5375.0034,Medium
DRL35,15.7,Low Fat,0.030877303,Hard Drinks,42.177,OUT017,2007,Tier 2,Supermarket Type1,735.709,Medium
DRL37,15.5,Low Fat,0,Soft Drinks,41.377,OUT017,2007,Tier 2,Supermarket Type1,649.155,Medium
DRL49,13.15,Low Fat,0.05674821,Soft Drinks,144.3812,OUT017,2007,Tier 2,Supermarket Type1,284.9624,Medium
DRM23,16.6,Low Fat,0.136500981,Hard Drinks,173.3422,OUT017,2007,Tier 2,Supermarket Type1,4138.6128,Medium
DRM35,9.695,Low Fat,0.070843019,Hard Drinks,177.7344,OUT017,2007,Tier 2,Supermarket Type1,1605.9096,Medium
DRM37,15.35,Low Fat,0.096943078,Soft Drinks,196.5768,OUT017,2007,Tier 2,Supermarket Type1,7685.9952,Medium
DRM49,6.11,Regular,0.152813518,Soft Drinks,45.6086,OUT017,2007,Tier 2,Supermarket Type1,1025.9978,Medium
DRM59,5.88,Low Fat,0.003612411,Hard Drinks,154.1998,OUT017,2007,Tier 2,Supermarket Type1,3537.3954,Medium
DRN11,7.85,Low Fat,0.163902159,Hard Drinks,143.3444,OUT017,2007,Tier 2,Supermarket Type1,1596.5884,Medium
DRN37,9.6,Low Fat,0.096842096,Soft Drinks,166.1158,OUT017,2007,Tier 2,Supermarket Type1,501.3474,Medium
DRN47,12.1,Low Fat,0.016921927,Hard Drinks,178.366,OUT017,2007,Tier 2,Supermarket Type1,4314.384,Medium
DRN59,15,Low Fat,0.064504433,Hard Drinks,47.306,OUT017,2007,Tier 2,Supermarket Type1,652.484,Medium
DRO35,13.85,Low Fat,0.034765901,Hard Drinks,114.2492,OUT017,2007,Tier 2,Supermarket Type1,1853.5872,Medium
DRO47,10.195,Low Fat,0.112859454,Hard Drinks,114.486,OUT017,2007,Tier 2,Supermarket Type1,2490.092,Medium
DRO59,11.8,Low Fat,0.054460571,Hard Drinks,77.0012,OUT017,2007,Tier 2,Supermarket Type1,2277.036,Medium
DRP47,15.75,Low Fat,0.141398626,Hard Drinks,250.5382,OUT017,2007,Tier 2,Supermarket Type1,2775.7202,Medium
DRQ35,9.3,Low Fat,0.042530668,Hard Drinks,125.5388,OUT017,2007,Tier 2,Supermarket Type1,2848.2924,Medium
DRY23,9.395,Regular,0.109713464,Soft Drinks,41.3112,OUT017,2007,Tier 2,Supermarket Type1,255.6672,Medium
DRZ11,8.85,Regular,0.113302223,Soft Drinks,125.1388,OUT017,2007,Tier 2,Supermarket Type1,1114.5492,Medium
DRZ24,7.535,Low Fat,0.082250143,Soft Drinks,118.344,OUT017,2007,Tier 2,Supermarket Type1,3115.944,Medium
FDA01,15,Regular,0.054685839,Canned,60.2904,OUT017,2007,Tier 2,Supermarket Type1,1581.9408,Medium
FDA04,11.3,Regular,0.067107448,Frozen Foods,258.1962,OUT017,2007,Tier 2,Supermarket Type1,4402.9354,Medium
FDA08,11.85,Regular,0.050368454,Fruits and Vegetables,163.8526,OUT017,2007,Tier 2,Supermarket Type1,1808.9786,Medium
FDA09,13.35,Regular,0.15021128,Snack Foods,179.066,OUT017,2007,Tier 2,Supermarket Type1,2696.49,Medium
FDA10,20.35,Low Fat,0.142618182,Snack Foods,123.2072,OUT017,2007,Tier 2,Supermarket Type1,1225.072,Medium
FDA11,7.75,Low Fat,0.043483398,Baking Goods,94.3436,OUT017,2007,Tier 2,Supermarket Type1,2363.59,Medium
FDA13,15.85,Low Fat,0.078999287,Canned,38.6506,OUT017,2007,Tier 2,Supermarket Type1,759.012,Medium
FDA15,9.3,Low Fat,0.016113019,Dairy,248.8092,OUT017,2007,Tier 2,Supermarket Type1,5976.2208,Medium
FDA20,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,OUT017,2007,Tier 2,Supermarket Type1,2609.936,Medium
FDA23,9.8,Low Fat,0.047453947,Baking Goods,101.7016,OUT017,2007,Tier 2,Supermarket Type1,1518.024,Medium
FDA25,16.5,Regular,0.068511103,Canned,103.699,OUT017,2007,Tier 2,Supermarket Type1,1651.184,Medium
FDA27,20.35,Regular,0.031102571,Dairy,257.2672,OUT017,2007,Tier 2,Supermarket Type1,2045.3376,Medium
FDA28,16.1,Regular,0.04807227,Frozen Foods,126.5362,OUT017,2007,Tier 2,Supermarket Type1,1761.7068,Medium
FDA31,7.1,Low Fat,0.110633958,Fruits and Vegetables,173.808,OUT017,2007,Tier 2,Supermarket Type1,1211.756,Medium
FDA32,14,Low Fat,0,Fruits and Vegetables,216.9192,OUT017,2007,Tier 2,Supermarket Type1,6471.576,Medium
FDA33,6.48,Low Fat,0.034091649,Snack Foods,146.2076,OUT017,2007,Tier 2,Supermarket Type1,2364.9216,Medium
FDA34,11.5,Low Fat,0.014944614,Starchy Foods,171.808,OUT017,2007,Tier 2,Supermarket Type1,5712.564,Medium
FDA35,14.85,Regular,0.054142088,Baking Goods,124.1072,OUT017,2007,Tier 2,Supermarket Type1,1837.608,Medium
FDA39,6.32,Low Fat,0.012789884,Meat,39.1822,OUT017,2007,Tier 2,Supermarket Type1,1060.6194,Medium
FDA40,16,Regular,0.099832728,Frozen Foods,87.4856,OUT017,2007,Tier 2,Supermarket Type1,263.6568,Medium
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Tier 2,Supermarket Type1,3121.2704,Medium
FDA44,19.7,Low Fat,0.053523765,Fruits and Vegetables,55.393,OUT017,2007,Tier 2,Supermarket Type1,1471.418,Medium
FDA46,13.6,Low Fat,0.11830085,Snack Foods,196.2136,OUT017,2007,Tier 2,Supermarket Type1,1944.136,Medium
FDA47,10.5,Regular,0.11733375,Baking Goods,164.121,OUT017,2007,Tier 2,Supermarket Type1,2773.057,Medium
FDA50,16.25,Low Fat,0.087668236,Dairy,94.941,OUT017,2007,Tier 2,Supermarket Type1,1737.738,Medium
FDB04,11.35,Regular,0.06358394,Dairy,89.4856,OUT017,2007,Tier 2,Supermarket Type1,1142.5128,Medium
FDB08,6.055,Low Fat,0.03127929,Fruits and Vegetables,160.3578,OUT017,2007,Tier 2,Supermarket Type1,2406.867,Medium
FDB11,16,Low Fat,0.061192211,Starchy Foods,224.1404,OUT017,2007,Tier 2,Supermarket Type1,4725.8484,Medium
FDB15,10.895,Low Fat,0.137584599,Dairy,262.2568,OUT017,2007,Tier 2,Supermarket Type1,3954.852,Medium
FDB17,13.15,Low Fat,0.036879539,Frozen Foods,181.3976,OUT017,2007,Tier 2,Supermarket Type1,3078.6592,Medium
FDB20,7.72,Low Fat,0.052274691,Fruits and Vegetables,79.1986,OUT017,2007,Tier 2,Supermarket Type1,778.986,Medium
FDB21,7.475,Low Fat,0.149360698,Fruits and Vegetables,243.4854,OUT017,2007,Tier 2,Supermarket Type1,1691.7978,Medium
FDB23,19.2,Regular,0.005620213,Starchy Foods,226.6062,OUT017,2007,Tier 2,Supermarket Type1,5191.2426,Medium
FDB26,14,Regular,0.031444357,Canned,53.764,OUT017,2007,Tier 2,Supermarket Type1,798.96,Medium
FDB28,6.615,Low Fat,0.093913607,Dairy,198.7426,OUT017,2007,Tier 2,Supermarket Type1,1186.4556,Medium
FDB29,16.7,Regular,0.052708138,Frozen Foods,114.7176,OUT017,2007,Tier 2,Supermarket Type1,2404.8696,Medium
FDB32,20.6,Low Fat,0.023585598,Fruits and Vegetables,94.7778,OUT017,2007,Tier 2,Supermarket Type1,1314.2892,Medium
FDB34,15.25,Low Fat,0.026760329,Snack Foods,86.0198,OUT017,2007,Tier 2,Supermarket Type1,2006.0554,Medium
FDB35,12.3,Regular,0.064984487,Starchy Foods,92.5804,OUT017,2007,Tier 2,Supermarket Type1,2297.01,Medium
FDB36,5.465,Regular,0.048801674,Baking Goods,132.1626,OUT017,2007,Tier 2,Supermarket Type1,1573.9512,Medium
FDB39,11.6,Low Fat,0.038736838,Dairy,55.8272,OUT017,2007,Tier 2,Supermarket Type1,1454.1072,Medium
FDB44,6.655,Low Fat,0,Fruits and Vegetables,212.4586,OUT017,2007,Tier 2,Supermarket Type1,2743.7618,Medium
FDB50,13,Low Fat,0.154487495,Canned,77.2986,OUT017,2007,Tier 2,Supermarket Type1,1246.3776,Medium
FDB51,6.92,Low Fat,0.038671588,Dairy,64.2852,OUT017,2007,Tier 2,Supermarket Type1,438.0964,Medium
FDB53,13.35,Low Fat,0.140241213,Frozen Foods,150.2392,OUT017,2007,Tier 2,Supermarket Type1,2684.5056,Medium
FDB57,20.25,Regular,0.018911474,Fruits and Vegetables,220.5772,OUT017,2007,Tier 2,Supermarket Type1,2446.1492,Medium
FDB58,10.5,Regular,0.013572808,Snack Foods,143.2154,OUT017,2007,Tier 2,Supermarket Type1,1559.9694,Medium
FDB60,9.3,Low Fat,0.028683422,Baking Goods,195.8136,OUT017,2007,Tier 2,Supermarket Type1,3693.8584,Medium
FDC03,8.575,Regular,0.072252888,Dairy,196.5794,OUT017,2007,Tier 2,Supermarket Type1,5267.1438,Medium
FDC05,13.1,Regular,0.099343352,Frozen Foods,198.1768,OUT017,2007,Tier 2,Supermarket Type1,1970.768,Medium
FDC08,19,Regular,0.104035148,Fruits and Vegetables,227.772,OUT017,2007,Tier 2,Supermarket Type1,5206.556,Medium
FDC10,9.8,Regular,0.073289899,Snack Foods,120.8098,OUT017,2007,Tier 2,Supermarket Type1,1325.6078,Medium
FDC14,14.5,Regular,0.041482394,Canned,40.0454,OUT017,2007,Tier 2,Supermarket Type1,209.727,Medium
FDC15,18.1,Low Fat,0.178975721,Dairy,155.5288,OUT017,2007,Tier 2,Supermarket Type1,1571.288,Medium
FDC16,11.5,Regular,0.020686161,Dairy,85.054,OUT017,2007,Tier 2,Supermarket Type1,1731.08,Medium
FDC17,12.15,Low Fat,0.015548178,Frozen Foods,211.2928,OUT017,2007,Tier 2,Supermarket Type1,5049.4272,Medium
FDC20,10.65,Low Fat,0.024107056,Fruits and Vegetables,56.6272,OUT017,2007,Tier 2,Supermarket Type1,447.4176,Medium
FDC21,14.6,Regular,0.043201813,Fruits and Vegetables,110.1254,OUT017,2007,Tier 2,Supermarket Type1,1844.9318,Medium
FDC28,7.905,Low Fat,0,Frozen Foods,109.1254,OUT017,2007,Tier 2,Supermarket Type1,1627.881,Medium
FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,OUT017,2007,Tier 2,Supermarket Type1,2862.94,Medium
FDC39,7.405,Low Fat,0,Dairy,205.7296,OUT017,2007,Tier 2,Supermarket Type1,4570.0512,Medium
FDC40,16,Regular,0.065431917,Dairy,76.1986,OUT017,2007,Tier 2,Supermarket Type1,1869.5664,Medium
FDC41,15.6,Low Fat,0.117574554,Frozen Foods,75.667,OUT017,2007,Tier 2,Supermarket Type1,1301.639,Medium
FDC44,15.6,Low Fat,0.173573164,Fruits and Vegetables,114.4518,OUT017,2007,Tier 2,Supermarket Type1,2390.8878,Medium
FDC46,17.7,Low Fat,0.117201696,Snack Foods,184.0266,OUT017,2007,Tier 2,Supermarket Type1,2397.5458,Medium
FDC48,9.195,Low Fat,0.015949001,Baking Goods,84.1592,OUT017,2007,Tier 2,Supermarket Type1,1238.388,Medium
FDC50,15.85,Low Fat,0.13727,Canned,94.4094,OUT017,2007,Tier 2,Supermarket Type1,1904.188,Medium
FDC51,10.895,Regular,0.009676286,Dairy,122.873,OUT017,2007,Tier 2,Supermarket Type1,3448.844,Medium
FDC52,11.15,Regular,0.008326735,Dairy,149.9708,OUT017,2007,Tier 2,Supermarket Type1,1956.1204,Medium
FDC58,10.195,Low Fat,0.04217956,Snack Foods,44.2428,OUT017,2007,Tier 2,Supermarket Type1,703.0848,Medium
FDC59,16.7,Regular,0.054937907,Starchy Foods,64.2168,OUT017,2007,Tier 2,Supermarket Type1,1661.8368,Medium
FDC60,5.425,Regular,0.115119905,Baking Goods,88.3514,OUT017,2007,Tier 2,Supermarket Type1,1416.8224,Medium
FDD03,13.3,Low Fat,0.080257683,Dairy,232.63,OUT017,2007,Tier 2,Supermarket Type1,1864.24,Medium
FDD04,16,Low Fat,0.090480206,Dairy,142.4154,OUT017,2007,Tier 2,Supermarket Type1,1985.4156,Medium
FDD05,19.35,Low Fat,0.016705436,Frozen Foods,120.8098,OUT017,2007,Tier 2,Supermarket Type1,3374.2744,Medium
FDD08,8.3,Low Fat,0.03555434,Fruits and Vegetables,37.4506,OUT017,2007,Tier 2,Supermarket Type1,796.9626,Medium
FDD09,13.5,Low Fat,0.021617996,Fruits and Vegetables,179.6976,OUT017,2007,Tier 2,Supermarket Type1,1810.976,Medium
FDD10,20.6,Regular,0.046280998,Snack Foods,177.4344,OUT017,2007,Tier 2,Supermarket Type1,1962.7784,Medium
FDD11,12.85,Low Fat,0.030789914,Starchy Foods,254.904,OUT017,2007,Tier 2,Supermarket Type1,3036.048,Medium
FDD17,7.5,Low Fat,0.032811503,Frozen Foods,239.6906,OUT017,2007,Tier 2,Supermarket Type1,2614.5966,Medium
FDD21,10.3,Regular,0,Fruits and Vegetables,115.7176,OUT017,2007,Tier 2,Supermarket Type1,1717.764,Medium
FDD28,10.695,Low Fat,0,Frozen Foods,60.5904,OUT017,2007,Tier 2,Supermarket Type1,410.1328,Medium
FDD29,12.15,Low Fat,0.018514652,Frozen Foods,252.7698,OUT017,2007,Tier 2,Supermarket Type1,5834.4054,Medium
FDD32,17.7,Regular,0.041163522,Fruits and Vegetables,80.8276,OUT017,2007,Tier 2,Supermarket Type1,1868.2348,Medium
FDD34,7.945,Low Fat,0.01596609,Snack Foods,163.521,OUT017,2007,Tier 2,Supermarket Type1,1794.331,Medium
FDD35,12.15,Low Fat,0.026010729,Starchy Foods,119.144,OUT017,2007,Tier 2,Supermarket Type1,2157.192,Medium
FDD38,16.75,Regular,0.008238064,Canned,101.9674,OUT017,2007,Tier 2,Supermarket Type1,1528.011,Medium
FDD39,16.7,Low Fat,0.070551723,Dairy,217.685,OUT017,2007,Tier 2,Supermarket Type1,2163.85,Medium
FDD41,6.765,Regular,0.087753682,Frozen Foods,105.3306,OUT017,2007,Tier 2,Supermarket Type1,2090.612,Medium
FDD44,8.05,Regular,0.07884393,Fruits and Vegetables,257.0646,OUT017,2007,Tier 2,Supermarket Type1,8760.5964,Medium
FDD50,18.85,Low Fat,0.142443405,Canned,170.4132,OUT017,2007,Tier 2,Supermarket Type1,4396.9432,Medium
FDD53,16.2,Low Fat,0.044472637,Frozen Foods,43.3454,OUT017,2007,Tier 2,Supermarket Type1,922.7988,Medium
FDD56,15.2,Regular,0.104365283,Fruits and Vegetables,177.1054,OUT017,2007,Tier 2,Supermarket Type1,3151.8972,Medium
FDD57,18.1,Low Fat,0.022526293,Fruits and Vegetables,95.0094,OUT017,2007,Tier 2,Supermarket Type1,1713.7692,Medium
FDD59,10.5,Regular,0.066555152,Starchy Foods,80.896,OUT017,2007,Tier 2,Supermarket Type1,958.752,Medium
FDE02,8.71,Low Fat,0.121936216,Canned,94.4778,OUT017,2007,Tier 2,Supermarket Type1,2628.5784,Medium
FDE05,10.895,Regular,0.03263762,Frozen Foods,147.7102,OUT017,2007,Tier 2,Supermarket Type1,1895.5326,Medium
FDE10,6.67,Regular,0.090456903,Snack Foods,131.2626,OUT017,2007,Tier 2,Supermarket Type1,2098.6016,Medium
FDE16,8.895,Low Fat,0.026492726,Frozen Foods,208.4954,OUT017,2007,Tier 2,Supermarket Type1,6251.862,Medium
FDE17,20.1,Regular,0.054763518,Frozen Foods,150.9366,OUT017,2007,Tier 2,Supermarket Type1,3476.1418,Medium
FDE20,11.35,Regular,0.005561798,Fruits and Vegetables,168.379,OUT017,2007,Tier 2,Supermarket Type1,3225.801,Medium
FDE23,17.6,Regular,0.053481818,Starchy Foods,47.806,OUT017,2007,Tier 2,Supermarket Type1,1071.938,Medium
FDE24,14.85,Low Fat,0.093991286,Baking Goods,140.9812,OUT017,2007,Tier 2,Supermarket Type1,3277.0676,Medium
FDE32,20.7,Low Fat,0.04903471,Fruits and Vegetables,39.9506,OUT017,2007,Tier 2,Supermarket Type1,872.8638,Medium
FDE33,19.35,Regular,0.049916364,Fruits and Vegetables,80.2644,OUT017,2007,Tier 2,Supermarket Type1,942.7728,Medium
FDE34,9.195,Low Fat,0.108501676,Snack Foods,183.6634,OUT017,2007,Tier 2,Supermarket Type1,2362.9242,Medium
FDE36,5.26,Regular,0.042008667,Baking Goods,162.6868,OUT017,2007,Tier 2,Supermarket Type1,3767.0964,Medium
FDE40,15.6,Regular,0.099704558,Dairy,63.1194,OUT017,2007,Tier 2,Supermarket Type1,1300.3074,Medium
FDE41,9.195,Regular,0.064376263,Frozen Foods,83.1566,OUT017,2007,Tier 2,Supermarket Type1,1099.2358,Medium
FDE44,14.65,Low Fat,0.172357491,Fruits and Vegetables,50.8692,OUT017,2007,Tier 2,Supermarket Type1,788.3072,Medium
FDE46,18.6,Low Fat,0.015858893,Snack Foods,152.9366,OUT017,2007,Tier 2,Supermarket Type1,453.4098,Medium
FDE47,14.15,Low Fat,0.038123176,Starchy Foods,123.5046,OUT017,2007,Tier 2,Supermarket Type1,1992.0736,Medium
FDE51,5.925,Regular,0.097012989,Dairy,42.9086,OUT017,2007,Tier 2,Supermarket Type1,758.3462,Medium
FDE53,10.895,Low Fat,0.027032204,Frozen Foods,106.328,OUT017,2007,Tier 2,Supermarket Type1,852.224,Medium
FDE56,17.25,Regular,0.160095901,Fruits and Vegetables,61.5194,OUT017,2007,Tier 2,Supermarket Type1,1052.6298,Medium
FDE57,9.6,Low Fat,0.036490369,Fruits and Vegetables,140.8154,OUT017,2007,Tier 2,Supermarket Type1,1843.6002,Medium
FDE58,18.5,Low Fat,0,Snack Foods,119.8124,OUT017,2007,Tier 2,Supermarket Type1,4029.4216,Medium
FDE59,12.15,Low Fat,0.062640143,Starchy Foods,36.6532,OUT017,2007,Tier 2,Supermarket Type1,251.6724,Medium
FDF02,16.2,Low Fat,0.104058452,Canned,102.499,OUT017,2007,Tier 2,Supermarket Type1,2063.98,Medium
FDF04,17.5,Low Fat,0.013714183,Frozen Foods,259.2304,OUT017,2007,Tier 2,Supermarket Type1,2841.6344,Medium
FDF05,17.5,Low Fat,0.027022883,Frozen Foods,262.491,OUT017,2007,Tier 2,Supermarket Type1,5259.82,Medium
FDF11,10.195,Regular,0.017730951,Starchy Foods,239.8538,OUT017,2007,Tier 2,Supermarket Type1,4086.0146,Medium
FDF12,8.235,Low Fat,0.0828941,Baking Goods,149.3076,OUT017,2007,Tier 2,Supermarket Type1,1921.4988,Medium
